time_ms,throttle,pitch,roll,yaw,m1,m2,m3,m4
33090,1498,-4.36,1.54,8.53,1000,1000,1000,1000
33207,1498,-2.79,0.07,-0.61,1000,1000,1000,1000
33391,1498,-3.31,-3.66,-4.14,1000,1000,1000,1000
33502,1498,-3.5,-5.88,-4.45,1000,1000,1000,1000
33615,1498,-4.01,-7.1,-1.27,1000,1000,1000,1000
33751,1498,-3.95,-7.2,-0.57,1000,1000,1000,1000
33863,1498,-3.99,-7.39,-0.4,1000,1000,1000,1000
33981,1498,-4.19,-6.93,2.28,1000,1000,1000,1000
34112,1498,-4.12,-5.01,2.8,1000,1000,1000,1000
34252,1498,-4.0,-2.65,3.1,1000,1000,1000,1000
34390,1499,-3.72,-0.53,0.65,1000,1000,1000,1000
34505,1498,-3.79,1.0,0.6,1000,1000,1000,1000
34688,1498,-3.76,2.89,0.8,1000,1000,1000,1000
34821,1498,-3.7,2.79,0.04,1000,1000,1000,1000
34982,1498,-3.8,2.98,0.13,1000,1000,1000,1000
35119,1498,-3.85,3.06,0.22,1000,1000,1000,1000
35237,1498,-3.83,3.07,0.16,1000,1000,1000,1000
35374,1498,-3.82,3.09,0.31,1000,1000,1000,1000
35508,1498,-3.85,3.07,0.33,1000,1000,1000,1000
35620,1498,-3.87,3.06,0.18,1000,1000,1000,1000
35761,1498,-3.9,3.05,0.4,1000,1000,1000,1000
35878,1498,-3.89,3.09,0.07,1000,1000,1000,1000
36101,1498,-3.84,3.07,0.21,1000,1000,1000,1000
36218,1498,-3.85,3.06,0.18,1000,1000,1000,1000
36330,1498,-3.86,3.05,0.39,1000,1000,1000,1000
36461,1498,-3.85,3.13,0.18,1000,1000,1000,1000
36576,1498,-3.88,3.18,-0.6,1000,1000,1000,1000
36739,1498,-4.33,3.42,-1.89,1000,1000,1000,1000
36873,1498,-4.22,5.27,-4.6,1000,1000,1000,1000
37010,1499,-3.77,8.05,-0.1,1000,1000,1000,1000
37142,1498,-3.87,11.59,0.98,1000,1000,1000,1000
37259,1498,-4.06,14.34,0.31,1000,1000,1000,1000
37393,1498,-4.07,18.16,0.69,1000,1000,1000,1000
37509,1498,-4.09,19.36,0.44,1000,1000,1000,1000
37642,1498,-4.19,19.84,-0.63,1000,1000,1000,1000
37819,1498,-4.09,19.54,0.39,1000,1000,1000,1000
37939,1498,-4.2,19.54,-1.53,1000,1000,1000,1000
38074,1498,-4.25,19.41,-1.79,1000,1000,1000,1000
38190,1498,-4.12,19.75,-0.19,1000,1000,1000,1000
38303,1498,-4.05,19.82,0.11,1000,1000,1000,1000
38439,1498,-4.13,19.9,-0.21,1000,1000,1000,1000
38557,1498,-4.04,20.04,0.65,1000,1000,1000,1000
38664,1498,-4.11,19.73,-0.21,1000,1000,1000,1000
38802,1498,-4.08,19.17,-0.1,1000,1000,1000,1000
38938,1498,-4.11,17.23,-0.72,1000,1000,1000,1000
39121,1498,-4.17,11.76,-1.39,1000,1000,1000,1000
39253,1498,-3.89,8.03,-0.02,1000,1000,1000,1000
39390,1498,-3.87,5.78,-1.47,1000,1000,1000,1000
39528,1498,-4.05,3.23,0.13,1000,1000,1000,1000
39640,1498,-4.11,3.03,-0.11,1000,1000,1000,1000
39753,1498,-3.98,3.14,0.15,1000,1000,1000,1000
39913,1498,-3.87,3.1,0.11,1000,1000,1000,1000
40028,1498,-3.88,3.14,0.15,1000,1000,1000,1000
40168,1498,-3.88,3.15,0.15,1000,1000,1000,1000
40304,1498,-3.89,3.16,0.21,1000,1000,1000,1000
40421,1498,-3.86,3.17,0.17,1000,1000,1000,1000
40536,1498,-3.86,3.14,0.24,1000,1000,1000,1000
40669,1498,-3.86,3.17,0.21,1000,1000,1000,1000
40787,1498,-3.88,3.16,0.21,1000,1000,1000,1000
40898,1498,-3.87,3.15,-0.82,1000,1000,1000,1000
41061,1498,-3.54,2.85,-4.47,1000,1000,1000,1000
41197,1498,-3.55,2.83,-8.66,1000,1000,1000,1000
41330,1498,-3.1,2.58,-22.24,1000,1000,1000,1000
41450,1498,-4.03,3.31,-10.45,1000,1000,1000,1000
41586,1498,-4.64,3.78,1.25,1000,1000,1000,1000
41723,1498,-4.25,3.79,4.69,1000,1000,1000,1000
41839,1498,-4.49,4.26,15.5,1000,1000,1000,1000
41951,1498,-3.52,4.07,22.97,1000,1000,1000,1000
42084,1498,-2.42,2.56,7.08,1000,1000,1000,1000
42202,1498,-3.91,1.99,0.88,1000,1000,1000,1000
42336,1498,-3.29,1.8,-2.11,1000,1000,1000,1000
42496,1498,-4.33,4.06,2.18,1000,1000,1000,1000
42634,1498,-4.13,3.59,0.29,1000,1000,1000,1000
42752,1498,-3.96,3.41,0.21,1000,1000,1000,1000
42908,1498,-3.86,3.3,0.27,1000,1000,1000,1000
43023,1498,-3.82,3.25,0.15,1000,1000,1000,1000
43163,1498,-3.79,3.21,0.07,1000,1000,1000,1000
43274,1498,-3.83,3.21,0.27,1000,1000,1000,1000
